"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","nt_total","pt_EPT","pi_EphemNoCaeBae","pi_ffg_filt","pt_ffg_pred","pt_tv_intol","pi_Pleco","pi_ffg_shred","pi_tv_intol","x_Becks"
"2002015",42.249836,-71.222694,"B0111","7/18/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",98,24,16.6666666666667,0,65.3061224489796,25,8.33333333333333,2.04081632653061,2.04081632653061,3.06122448979592,4
"2002020",42.553008,-73.139015,"B0491","8/12/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",101,29,41.3793103448276,0.99009900990099,29.7029702970297,24.1379310344828,37.9310344827586,10.8910891089109,10.8910891089109,20.7920792079208,21
"2002021",42.590998,-73.113667,"B0490","8/12/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",93,27,40.7407407407407,5.37634408602151,20.4301075268817,18.5185185185185,22.2222222222222,9.67741935483871,16.1290322580645,19.3548387096774,15
"2002022",42.614602,-73.102779,"B0489","8/12/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",106,24,33.3333333333333,0,11.3207547169811,25,33.3333333333333,12.2641509433962,15.0943396226415,30.188679245283,17
"2002024",42.725535,-73.2074,"B0492","8/13/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",93,21,33.3333333333333,4.3010752688172,33.3333333333333,4.76190476190476,14.2857142857143,3.2258064516129,10.752688172043,6.45161290322581,14
"2002026",42.730195,-73.215658,"B0042","8/13/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",97,16,31.25,0,20.6185567010309,12.5,6.25,0,3.09278350515464,1.03092783505155,6
"2002028",42.64765,-73.108453,"B0040","8/13/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",95,26,30.7692307692308,9.47368421052632,29.4736842105263,15.3846153846154,11.5384615384615,1.05263157894737,2.10526315789474,11.5789473684211,11
"2002029",42.735297,-73.071859,"B0258","8/13/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",96,30,36.6666666666667,5.20833333333333,46.875,13.3333333333333,23.3333333333333,2.08333333333333,15.625,9.375,15
"2002030",42.627764,-73.226333,"B0499","8/14/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",97,23,39.1304347826087,2.06185567010309,25.7731958762887,21.7391304347826,30.4347826086957,8.24742268041237,6.18556701030928,24.7422680412371,16
"2002033",42.676487,-73.231264,"B0032","8/14/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",90,23,8.69565217391304,7.77777777777778,8.88888888888889,17.3913043478261,13.0434782608696,0,24.4444444444444,10,8
"2002034",42.178556,-73.378126,"B0497","9/9/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",107,34,47.0588235294118,14.018691588785,39.2523364485981,20.5882352941176,35.2941176470588,0.934579439252336,10.2803738317757,31.7757009345794,24
"2002035",42.274349,-73.358652,"B0496","9/9/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",110,27,44.4444444444444,15.4545454545455,38.1818181818182,18.5185185185185,22.2222222222222,0,7.27272727272727,22.7272727272727,12
"2002036",42.04741,-73.311829,"B0500","9/9/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",109,31,41.9354838709677,11.9266055045872,29.3577981651376,12.9032258064516,19.3548387096774,2.75229357798165,3.6697247706422,16.5137614678899,15
"2002037",42.106256,-73.268706,"B0012","9/9/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",106,28,42.8571428571429,7.54716981132075,28.3018867924528,17.8571428571429,28.5714285714286,0,1.88679245283019,26.4150943396226,19
"2002038",42.226862,-73.36368,"B0017","9/9/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",106,24,54.1666666666667,12.2641509433962,43.3962264150943,12.5,29.1666666666667,0.943396226415094,0.943396226415094,20.7547169811321,16
"2002039",42.486116,-73.137,"B0501","9/10/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",111,34,41.1764705882353,18.9189189189189,39.6396396396396,17.6470588235294,35.2941176470588,4.5045045045045,1.8018018018018,26.1261261261261,23
"2002040",42.451856,-73.128421,"B0502","9/10/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",102,30,36.6666666666667,19.6078431372549,29.4117647058824,23.3333333333333,16.6666666666667,2.94117647058824,1.96078431372549,24.5098039215686,19
"2002041",42.440126,-73.271207,"B0022","9/10/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",97,26,38.4615384615385,9.27835051546392,32.9896907216495,15.3846153846154,30.7692307692308,0,0,16.4948453608247,16
"2002042",42.483206,-73.097752,"B0291","9/10/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",107,32,59.375,22.4299065420561,14.018691588785,25,53.125,18.6915887850467,11.214953271028,56.0747663551402,34
"2002045",42.344148,-73.245236,"B0504","9/11/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",95,21,28.5714285714286,0,52.6315789473684,9.52380952380952,4.76190476190476,0,5.26315789473684,2.10526315789474,6
"2002046",42.294302,-73.227193,"B0506","9/11/2002","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",110,33,33.3333333333333,11.8181818181818,13.6363636363636,18.1818181818182,27.2727272727273,3.63636363636364,10.9090909090909,15.4545454545455,24
